,isInner,id1,id2,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw jump,raw ncd,raw fourbytes,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons jump,skeletons ncd,skeletons fourbytes,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel jump,fstSecSkel ncd,fstSecSkel fourbytes,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat jump,fStat ncd,fStat fourbytes,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 jump,fStat0 ncd,fStat0 fourbytes
isInner,1.0,-0.21132904898899554,0.10321288709732171,0.10434505044059056,0.345820021718379,0.41184957794949345,0.43466531535625846,0.007878827630871553,0.5433080740510765,0.7263179932585834,0.16303764668726586,0.4422398870555303,0.4388780237263307,0.38925476493460487,0.45217718485843916,0.48869098431481034,,0.1663395187939383,0.43054232876020593,0.4493416811319689,0.39413687401396996,0.449351600655015,0.4964076234299704,,0.31005843721861104,0.3444038042706663,0.4611590354223941,-0.012557646815990895,0.5140867143339646,0.48107448183640616,,0.2236019404151555,0.17973054496057903,0.4611590354223941,0.28663101272395763,0.4540938344875124,0.48250407536124573,
id1,-0.21132904898899554,1.0,0.02091507797349084,-0.020659369395274577,-0.09122985521528218,-0.11229593466593006,-0.11210821104581126,0.016143166207958425,-0.1118106050629736,-0.15873806842546337,0.02176977269154432,-0.12240180321635648,-0.11626539065857103,-0.09801152656621052,-0.09178728034180907,-0.08462966638074372,,0.020365529157440464,-0.11870241264071013,-0.1179648508181223,-0.0977646320709232,-0.09051391722356984,-0.0867457673838481,,-0.06191437989668178,-0.08500453447726233,-0.11480584894902297,0.0005769253705421917,-0.1244471473412673,-0.10974385026664486,,-0.0018869518584903422,0.06045772148317236,-0.11480584894902297,-0.09826213865029032,-0.08536808055970832,-0.08652284338735831,
id2,0.10321288709732171,0.02091507797349084,1.0,-0.017765417779209633,-0.044243666095775694,-0.016234476373794795,0.001817364052142314,0.02149470203903278,0.01845133919547963,0.00032704048565173065,0.03893446805453845,-0.031719117404740114,-0.012055865521470354,0.004217905398480424,0.01219902491838667,0.02842482719503063,,0.037490228447460985,-0.026798076445561734,-0.01211809352051286,0.007163860922802126,0.01286640959734734,0.02753838175149143,,-0.01932756183686219,0.011862593752491147,-0.009132703223458683,-0.07057132217407841,-0.015023252812623247,-0.01018364227651019,,0.014675980064249068,0.008537556240066893,-0.009132703223458683,-0.04403978968529789,0.028542549319370607,0.014476026248030118,
raw ppdeep,0.10434505044059056,-0.020659369395274577,-0.017765417779209633,1.0,0.08055249890091462,0.06891571910781548,0.07430559586381505,0.05354442960065817,0.07337542411230824,0.08699259061782658,0.3138163116506274,0.07690867886605898,0.0685023115036123,0.07410170121454075,0.06969035691593654,0.07330932132583884,,0.31051638927638814,0.07717029418203084,0.06839167787275321,0.07415850908071688,0.06956481119552696,0.07328851242116029,,0.28634941191260865,0.05809527750751242,0.06828707827279712,0.06761670260110679,0.07186636247350825,0.07339661170709291,,0.2962451305003184,0.06594292375940904,0.06828707827279712,0.07314394738792027,0.06952961578894831,0.07365791587138427,
raw ppdeep_mod,0.345820021718379,-0.09122985521528218,-0.044243666095775694,0.08055249890091462,1.0,0.6331729431823104,0.5799293086426928,0.08040813052228869,0.5110295853582344,0.3973080468605536,0.14229327603488734,0.619438648595063,0.6525552316736946,0.5331706028985848,0.526121315336408,0.49246750989418425,,0.1409399033842011,0.6023893732949842,0.6319032315957852,0.50835135829814,0.5185194152257236,0.4885764466808851,,0.1766607613574317,0.49884829328703467,0.615735998727996,-0.23169646223911325,0.5421749074413473,0.4942813393589272,,0.1481859037345855,0.3565303815080746,0.615735998727996,0.3623647369863842,0.5122587143125853,0.5073350800438766,
raw byteBag,0.41184957794949345,-0.11229593466593006,-0.016234476373794795,0.06891571910781548,0.6331729431823104,1.0,0.7378079083266708,0.1487506467424387,0.6266624202240897,0.46569766814649693,0.1568901079477041,0.7101003957354438,0.8724857844065564,0.6737121446339867,0.642323909363097,0.6160265264801643,,0.15733696910586495,0.6954241145991313,0.8409213797693851,0.6428551392760932,0.635253837229752,0.6122992142323355,,0.19558504850815334,0.5806284289820283,0.8014261966620643,-0.2781209385726522,0.6579446474545441,0.5753439036171863,,0.16578691937783216,0.3936018446520464,0.8014261966620643,0.42282851713125397,0.6309216449615453,0.6177417919465354,
raw lzjd,0.43466531535625846,-0.11210821104581126,0.001817364052142314,0.07430559586381505,0.5799293086426928,0.7378079083266708,1.0,0.08549701645923719,0.7172473329188331,0.44590830111279206,0.16734847024376062,0.5904940229567849,0.72657042577926,0.8012620240569157,0.6357181064763606,0.706769418169461,,0.16885756152576323,0.5831751628489261,0.7158922200381082,0.7707530943391068,0.6278413650777125,0.7015737216963404,,0.22136083231041814,0.5273245733856496,0.6944715533840643,-0.12867399738619478,0.6598109526587684,0.6904844337313224,,0.19502024828614564,0.3618986201521391,0.6944715533840643,0.5260754059162347,0.6262984422712299,0.7255885900184316,
raw jump,0.007878827630871553,0.016143166207958425,0.02149470203903278,0.05354442960065817,0.08040813052228869,0.1487506467424387,0.08549701645923719,1.0,0.08265341605476538,0.08371123886875811,0.024731323670144092,0.09318682952544859,0.13131620265319746,0.05638525157076654,0.1380428698143132,0.08999124787616888,,0.026330513372858667,0.08762731036764144,0.1369693007274921,0.05159677540962653,0.12712642349659548,0.0933310919241893,,0.004053016697149352,0.08224048530694182,0.13562194161291238,-0.21617984540651075,0.14613173926563183,0.04554836626784962,,0.002236492134866297,0.11985339334318709,0.13562194161291238,-0.09174103695718898,0.12493087866159135,0.07143528260399741,
raw ncd,0.5433080740510765,-0.1118106050629736,0.01845133919547963,0.07337542411230824,0.5110295853582344,0.6266624202240897,0.7172473329188331,0.08265341605476538,1.0,0.5545923929426588,0.1638708749265157,0.5352373668470846,0.6317107226307737,0.6766195864460176,0.6305301148501,0.8719666511387721,,0.16625707885974528,0.5288387507582466,0.636789103218803,0.6683558942621559,0.6236009760457171,0.8686092260354649,,0.2244655516663834,0.45267265795285566,0.6291756543530178,-0.06943820999114206,0.6585693056228625,0.7193297050014691,,0.20410910482954658,0.3456271027239504,0.6291756543530178,0.4468742988211412,0.6245257997865987,0.7996926752068467,
raw fourbytes,0.7263179932585834,-0.15873806842546337,0.00032704048565173065,0.08699259061782658,0.3973080468605536,0.46569766814649693,0.44590830111279206,0.08371123886875811,0.5545923929426588,1.0,0.12663604974727408,0.5023478017010594,0.4963853208251215,0.38315125363705027,0.516742725308596,0.4924495937300435,,0.12898852634623018,0.49534723973647404,0.5147423305549942,0.392803453731705,0.5100517291382682,0.5039246219534432,,0.24292509284310512,0.36122543421342296,0.5259335058625856,-0.09975703238649745,0.563806801685748,0.4720517086313145,,0.1719328010506092,0.21456661750056533,0.5259335058625856,0.2627679624666213,0.5081785667224746,0.49156857803921006,
