,isInner,id1,id2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,raw fourbytes,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,skeletons fourbytes,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fstSecSkel fourbytes,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat fourbytes,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd,fStat0 fourbytes
isInner,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id1,,1.0,0.3366766253083475,-0.001098716819757394,-0.0010964085911444581,0.014969313073909208,0.03953739849203439,0.1180127189362014,0.20318009881367324,-0.13256568134810387,0.075986120428408,0.06376373733423076,0.024331434233661416,0.024388057505211166,0.05939866103953192,0.07701906793984531,0.12547238027563623,0.19723649704763357,0.22239682353568913,0.15928951606029504,,0.025507748869526798,0.02555377502887607,0.06431809140621832,0.07701906793984531,0.12493127597387034,0.19685592678104605,0.2220436587411728,0.15931779024844897,,0.17274367521802253,0.1707725431934129,0.20619531216358464,0.0998473823452325,0.18277540791780075,0.17659779920352814,0.2032877830650435,0.19217596757119176,,0.09420607769592054,0.09381410942549219,0.07709885331710076,0.0998473823452325,0.06771275163707001,0.19397259638383052,0.2095471333126143,0.16789231660925338,
id2,,0.3366766253083475,1.0,-0.011374950604547136,-0.011372642375934201,-0.017253051890427435,-0.07283839170620691,-0.030729516730612104,0.002026071548242789,-0.05320961255813917,-0.08716675712311975,-0.08266652765115347,-0.06636470294868828,-0.06633171599795411,-0.04386350196050777,-0.04538718580075035,0.0020185666661192013,-0.033335619180796035,-0.013254216050075299,-0.03647383998895799,,-0.06598227888256546,-0.06595122799213947,-0.056292609903672304,-0.04538718580075035,0.0011318215497252678,-0.03216135430766422,-0.013231678351882591,-0.03640882894025343,,0.09206995095779684,0.08973651922872831,0.03538229327637766,-0.03828290031131887,0.005720616521718375,-0.0733372569786858,-0.04304262404959942,0.011348941812257403,,-0.020006053191048062,-0.020254585563208145,0.023243968195160933,-0.03828290031131887,-0.0704562587422855,-0.024591141543659607,-0.036712236557113816,-0.015117926557269866,
raw ssdeep,,-0.001098716819757394,-0.011374950604547136,1.0,0.9999472949113236,0.04377117905930429,0.04285909784175828,0.04375897684798015,0.0394055106539764,0.04370229780930727,0.04345174899887395,0.03606478772599079,0.20364514779808782,0.20317948610664632,0.043253749767473315,0.042609157404649815,0.04371252191645944,0.03787670183725586,0.0427063714863273,0.04317245368013692,,0.20290130686770894,0.20245251712955137,0.04329750476464512,0.042609157404649815,0.04371424982271424,0.038011992034229655,0.042706739726888196,0.043170113631728145,,0.08101410574695911,0.07975030298727466,0.0412474600778274,0.041768526601423016,0.042969539275049116,0.04091345581905629,0.041329628422494866,0.04251636229309133,,0.12172500444229403,0.12137026974904794,0.04298476072700821,0.041768526601423016,0.04375123410544526,0.038160449944228625,0.04269366106294069,0.04321320585465461,
raw ppdeep,,-0.0010964085911444581,-0.011372642375934201,0.9999472949113236,1.0,0.04377348614477323,0.042856803150400136,0.04376128633349793,0.03940780701240612,0.043704604060016215,0.04345404372301637,0.03606478772599079,0.20365596703824176,0.2031903061879173,0.04325606236938031,0.042606862703548236,0.04371482895020619,0.03787899864774869,0.042708670246769026,0.0431747484394151,,0.2029120891669367,0.20246330021967812,0.043299818283467705,0.042606862703548236,0.04371655676502374,0.03801428883133142,0.04270903850715124,0.043172408388598926,,0.08101852297144846,0.07975472116422196,0.04124976131974203,0.041766231753524466,0.04297183612876277,0.040915753359745274,0.04133192559773999,0.042518657621185764,,0.1217315104956061,0.12137677701493803,0.04298706387275937,0.041766231753524466,0.043753542329566464,0.038162746829382366,0.042695959695996544,0.043215500828278686,
raw ppdeep_mod,,0.014969313073909208,-0.017253051890427435,0.04377117905930429,0.04377348614477323,1.0,0.34256879711424226,0.3249194405592713,0.38200524158763643,-0.12273755556214704,0.35440552042997964,0.34552755319592404,0.1740142736555455,0.17401477709765364,0.35208935349756276,0.37418390682165453,0.3010910575989717,0.4090987992042751,0.35139096393405916,0.2818515202085025,,0.17488420225917242,0.1748849939538873,0.3298103855373204,0.37418390682165453,0.2999332205810591,0.4065856079168321,0.3512787271881625,0.2816336508880117,,0.20121477619196396,0.20239138433489093,0.22483761167259098,0.3523673462439122,-0.030025601832593993,0.37886379903530437,0.33371652120021483,0.2793554663951375,,0.18992735357903873,0.19033632680245302,0.19820667699050928,0.3523673462439122,0.2646758970734157,0.4094642984847736,0.3503216813573587,0.26627013555383655,
raw byteBag,,0.03953739849203439,-0.07283839170620691,0.04285909784175828,0.042856803150400136,0.34256879711424226,1.0,0.7460403991804814,0.4652746287444097,-0.07669820402330613,0.6885955055788039,0.3754355791095802,0.18455307480695834,0.18459239013887443,0.6813318314754546,0.81861318675118,0.7248111770099993,0.48551277908399476,0.4426733906108664,0.6406435144582596,,0.18528503132060584,0.1853415794851526,0.6862181760613603,0.81861318675118,0.724530645657505,0.4884313604873266,0.442095713497709,0.6408827259763791,,0.3542659843142246,0.35575400651248523,0.4797091364366,0.7235099647789828,0.028043077222590945,0.4870256041085404,0.4567194547120616,0.569463398096015,,0.26836433129254494,0.26870899628886946,0.2949800480166591,0.7235099647789828,0.7397530936958241,0.4824098822499976,0.4707037538926472,0.6005719126986447,
raw lzjd,,0.1180127189362014,-0.030729516730612104,0.04375897684798015,0.04376128633349793,0.3249194405592713,0.7460403991804814,1.0,0.44623525100031136,-0.04942113402841445,0.7595685913759823,0.313414324169995,0.192842861305511,0.19288653801803982,0.570105100496058,0.691725663715613,0.7784041442823184,0.4545606571110505,0.511972930067981,0.7436078546624592,,0.19351206396420204,0.19357965139158914,0.5633536735374045,0.691725663715613,0.7781325519465128,0.45838195310730745,0.5114576265976201,0.7435815841149122,,0.4293356088929214,0.42968935046152407,0.5117157143720835,0.6293800148150352,0.16631415757354973,0.4741660903161094,0.5176450337560702,0.6776346571132961,,0.297387923143523,0.2976132940351838,0.31265046737026736,0.6293800148150352,0.7095228139041767,0.45515662084434,0.5347733691888629,0.6998687332010807,
raw bz,,0.20318009881367324,0.002026071548242789,0.0394055106539764,0.03940780701240612,0.38200524158763643,0.4652746287444097,0.44623525100031136,1.0,-0.22509361896946994,0.421423096968334,0.523244536949288,0.14897765447045636,0.14908163676917363,0.47043462302189254,0.5375381190632514,0.4078127521716334,0.798649935034655,0.5576067245626355,0.3665094280757992,,0.14985414816223486,0.1499619228716197,0.474914615603078,0.5375381190632514,0.40658490012010307,0.7991914180702626,0.5572281286985642,0.3662154450903443,,0.2631566738425917,0.2647606336049284,0.358655713093363,0.5437753642878188,0.03965850303339258,0.6957270065658742,0.5794030693467591,0.4143854368986167,,0.21749160180951327,0.21806600781339167,0.24643166166245725,0.5437753642878188,0.4044810754513239,0.8206088744980642,0.5644420505962248,0.35226601890269355,
raw jump,,-0.13256568134810387,-0.05320961255813917,0.04370229780930727,0.043704604060016215,-0.12273755556214704,-0.07669820402330613,-0.04942113402841445,-0.22509361896946994,1.0,-0.06434735156025248,-0.26720082714741045,0.14376765858522972,0.14380014123098667,-0.12357955370672313,-0.13596590853999116,-0.0066495504107799775,-0.23123710790098118,-0.0669485377128204,0.001207268725263992,,0.14348532126935168,0.14352061788817302,-0.11474459736786947,-0.13596590853999116,-0.00471772856151209,-0.22834179199976445,-0.06733663494341352,0.0012917651354011695,,0.052160331948360165,0.05161508133270656,-0.059744698868462814,-0.19334432801272197,0.11334557472479724,-0.17848547398143008,-0.07489961105058811,-0.04228356074375199,,0.14215020945008816,0.14219535360827582,-0.06771379019676771,-0.19334432801272197,-0.05526824211969853,-0.23566288115487893,-0.05705221001557751,0.0038771175790536833,
